atclaatst_naam_tekst#gesl#atclaatst#uitgiftes#DDD#vergoeding#gebruikers#DDD_per_uitgifte#vergoeding_per_uitgifte#vergoeding_per_gebruiker#vergoeding_per_DDD#DDD_per_gebruiker#uitgifte_per_gebruiker#lftkls
Omeprazol #M #A02BC01 #13495 #1107000 #135450 #4329 #82,06 #10,04 #31,29 #0,12 #255,80 #3,12 #15-24
Omeprazol #M #A02BC01 #168670 #15894000 #416050 #42468 #94,23 #2,47 #9,80 #0,03 #374,30 #3,97 #25-44
Omeprazol #M #A02BC01 #651410 #62571000 #1552700 #142360 #96,06 #2,38 #10,91 #0,02 #439,50 #4,58 #45-64
Omeprazol #M #A02BC01 #528720 #47856000 #1310200 #106330 #90,51 #2,48 #12,32 #0,03 #450,10 #4,97 #65-74
Omeprazol #M #A02BC01 #937440 #50052000 #1495600 #118210 #53,39 #1,60 #12,65 #0,03 #423,40 #7,93 #75 +
Omeprazol #V #A02BC01 #11598 #168000 #511960 #2038 #14,49 #44,14 #251,20 #3,05 #82,46 #5,69 #0-4
Omeprazol #V #A02BC01 #3482 #199500 #127060 #1190 #57,30 #36,49 #106,70 #0,64 #167,60 #2,93 #5-14
Omeprazol #V #A02BC01 #22395 #1735000 #149950 #7910 #77,48 #6,70 #18,96 #0,09 #219,40 #2,83 #15-24
Omeprazol #V #A02BC01 #208740 #19127000 #482620 #58376 #91,63 #2,31 #8,27 #0,03 #327,60 #3,58 #25-44
Omeprazol #V #A02BC01 #834680 #82012000 #2005900 #187470 #98,26 #2,40 #10,70 #0,02 #437,50 #4,45 #45-64
Omeprazol #V #A02BC01 #731710 #66375000 #1879700 #144830 #90,71 #2,57 #12,98 #0,03 #458,30 #5,05 #65-74
Omeprazol #V #A02BC01 #1760900 #79888000 #2637100 #182770 #45,37 #1,50 #14,43 #0,03 #437,10 #9,63 #75 +
Pantoprazol #M #A02BC02 #22 #859 #3380 #5 #38,52 #151,50 #667,20 #3,93 #169,60 #4,40 #0-4
Pantoprazol #M #A02BC02 #596 #22050 #16006 #203 #36,97 #26,84 #78,83 #0,73 #108,60 #2,94 #5-14
Pantoprazol #M #A02BC02 #8347 #413400 #38497 #3195 #49,52 #4,61 #12,05 #0,09 #129,40 #2,61 #15-24
Pantoprazol #M #A02BC02 #134900 #6595000 #333790 #31163 #48,89 #2,47 #10,71 #0,05 #211,60 #4,33 #25-44
Pantoprazol #M #A02BC02 #883440 #44921000 #2213300 #158360 #50,85 #2,51 #13,98 #0,05 #283,70 #5,58 #45-64
Pantoprazol #M #A02BC02 #945160 #44883000 #2243900 #150410 #47,49 #2,37 #14,92 #0,05 #298,40 #6,28 #65-74
Pantoprazol #M #A02BC02 #1770500 #54148000 #2777400 #185780 #30,58 #1,57 #14,95 #0,05 #291,50 #9,53 #75 +
Pantoprazol #V #A02BC02 #49 #1800 #7694 #7 #36,81 #157,10 #1081,00 #4,27 #253,20 #6,88 #0-4
Pantoprazol #V #A02BC02 #498 #18540 #11777 #216 #37,21 #23,64 #54,52 #0,64 #85,82 #2,31 #5-14
Pantoprazol #V #A02BC02 #12941 #600200 #36873 #4938 #46,38 #2,85 #7,47 #0,06 #121,50 #2,62 #15-24
Pantoprazol #V #A02BC02 #146220 #7686000 #420940 #38405 #52,56 #2,88 #10,96 #0,05 #200,10 #3,81 #25-44
Pantoprazol #V #A02BC02 #810130 #43540000 #2233500 #157830 #53,74 #2,76 #14,15 #0,05 #275,90 #5,13 #45-64
Pantoprazol #V #A02BC02 #816920 #38936000 #2039700 #132920 #47,66 #2,50 #15,35 #0,05 #292,90 #6,15 #65-74
Pantoprazol #V #A02BC02 #2446600 #59355000 #3172700 #207410 #24,26 #1,30 #15,30 #0,05 #286,20 #11,80 #75 +
Lansoprazol #M #A02BC03 #3 #45 #6 #1 #15,00 #1,90 #5,70 #0,13 #45,00 #3,00 #0-4
Lansoprazol #M #A02BC03 #1 #45 #6 #1 #45,00 #5,86 #5,86 #0,13 #45,00 #1,00 #5-14
Lansoprazol #M #A02BC03 #50 #2050 #187 #9 #41,35 #3,78 #20,29 #0,09 #222,20 #5,37 #15-24
Lansoprazol #M #A02BC03 #783 #59490 #6106 #215 #76,02 #7,80 #28,39 #0,10 #276,50 #3,64 #25-44
Lansoprazol #M #A02BC03 #7140 #498300 #50228 #1585 #69,78 #7,03 #31,70 #0,10 #314,40 #4,51 #45-64
Lansoprazol #M #A02BC03 #7570 #475300 #50127 #1449 #62,79 #6,62 #34,60 #0,11 #328,00 #5,22 #65-74
Lansoprazol #M #A02BC03 #11185 #473700 #51044 #1528 #42,35 #4,56 #33,40 #0,11 #310,00 #7,32 #75 +
Lansoprazol #V #A02BC03 #1 #95 #11 #1 #90,00 #10,73 #10,73 #0,12 #90,00 #1,00 #5-14
Lansoprazol #V #A02BC03 #58 #4000 #391 #16 #68,85 #6,72 #24,12 #0,10 #247,00 #3,59 #15-24
Lansoprazol #V #A02BC03 #757 #46720 #4628 #208 #61,73 #6,11 #22,31 #0,10 #225,20 #3,65 #25-44
Lansoprazol #V #A02BC03 #6236 #408300 #41647 #1274 #65,48 #6,68 #32,69 #0,10 #320,50 #4,89 #45-64
Lansoprazol #V #A02BC03 #8113 #501600 #55047 #1493 #61,82 #6,78 #36,88 #0,11 #336,00 #5,44 #65-74
Lansoprazol #V #A02BC03 #20293 #715300 #76651 #2259 #35,25 #3,78 #33,93 #0,11 #316,60 #8,98 #75 +
Rabeprazol #M #A02BC04 #144 #12010 #566 #51 #83,48 #3,93 #11,10 #0,05 #235,70 #2,82 #15-24
Rabeprazol #M #A02BC04 #2630 #196200 #11337 #705 #74,59 #4,31 #16,09 #0,06 #278,40 #3,73 #25-44
Rabeprazol #M #A02BC04 #18148 #1277000 #78602 #3722 #70,35 #4,33 #21,12 #0,06 #343,00 #4,88 #45-64
Rabeprazol #M #A02BC04 #15766 #1098000 #67610 #3102 #69,62 #4,29 #21,79 #0,06 #353,80 #5,08 #65-74
Rabeprazol #M #A02BC04 #23580 #1026000 #64440 #3059 #43,51 #2,73 #21,06 #0,06 #335,40 #7,71 #75 +
Rabeprazol #V #A02BC04 #159 #9900 #483 #52 #62,29 #3,04 #9,32 #0,05 #191,10 #3,07 #15-24
Rabeprazol #V #A02BC04 #2616 #170100 #9138 #595 #65,00 #3,49 #15,36 #0,05 #285,90 #4,40 #25-44
Rabeprazol #V #A02BC04 #20277 #1433000 #87014 #4040 #70,65 #4,29 #21,54 #0,06 #354,60 #5,02 #45-64
Rabeprazol #V #A02BC04 #23022 #1537000 #101110 #4165 #66,74 #4,39 #24,28 #0,07 #368,90 #5,53 #65-74
Rabeprazol #V #A02BC04 #45503 #1717000 #113540 #4881 #37,73 #2,50 #23,26 #0,07 #351,80 #9,32 #75 +
Esomeprazol #M #A02BC05 #8837 #113800 #268050 #3183 #12,87 #30,33 #84,21 #2,36 #35,74 #2,78 #0-4
Esomeprazol #M #A02BC05 #3695 #125500 #207850 #1211 #33,97 #56,25 #171,70 #1,66 #103,70 #3,05 #5-14
Esomeprazol #M #A02BC05 #4462 #273200 #169150 #1271 #61,23 #37,91 #133,10 #0,62 #215,00 #3,51 #15-24
Esomeprazol #M #A02BC05 #31896 #2407000 #243250 #7601 #75,47 #7,63 #32,00 #0,10 #316,70 #4,20 #25-44
Esomeprazol #M #A02BC05 #144480 #11608000 #1037500 #28105 #80,35 #7,18 #36,92 #0,09 #413,00 #5,14 #45-64
Esomeprazol #M #A02BC05 #121690 #9253000 #903360 #21341 #76,04 #7,42 #42,33 #0,10 #433,60 #5,70 #65-74
Esomeprazol #M #A02BC05 #163440 #8143000 #863200 #19706 #49,82 #5,28 #43,80 #0,11 #413,20 #8,29 #75 +
Esomeprazol #V #A02BC05 #7083 #91960 #217570 #2553 #12,98 #30,72 #85,21 #2,37 #36,02 #2,77 #0-4
Esomeprazol #V #A02BC05 #3104 #106800 #172110 #1036 #34,42 #55,46 #166,10 #1,61 #103,10 #3,00 #5-14
Esomeprazol #V #A02BC05 #4929 #309400 #120270 #1675 #62,77 #24,40 #71,79 #0,39 #184,70 #2,94 #15-24
Esomeprazol #V #A02BC05 #32107 #2509000 #242850 #8397 #78,13 #7,56 #28,92 #0,10 #298,80 #3,82 #25-44
Esomeprazol #V #A02BC05 #183780 #14699000 #1343100 #35111 #79,98 #7,31 #38,25 #0,09 #418,70 #5,23 #45-64
